Review,Sentiment
"BAD: presentation (poor sound, unprepared and unrehearsed presentations, long intro's, unjustified use of greenscrenns, etc) shallow with regards to the theoretical aspects of what it is presented assignments are mechanical",Negative
"Unfortunately, this is a poorly designed course. It seems like it is strictly scripted, the instructor looks like she's reading the material.",Negative
two stars less for every poor course material which doesn't contain any guidance to test questions.,Negative
"Poorly described, but versatile in coverage. Could do with accessing Lecture Notes.",Negative
This course is absolute garbage. You get no feedback on your quizzes or assignments and the professor is one of the most boring I've ever seen.,Negative
Some courses are well taught on uninteresting subject.,Negative
Poor compared with some of the others on this specialisation.,Negative
Very poor instructions and not enough theory.,Negative
Really poor quality of the material.,Negative
this course is very poorly structured.,Negative
"Very horrible and boring course, poorly designed and the teachers can't even speak properly.",Negative
"I normally struggle to give poor reviews to free online content, but there are so many glaring fundamental issues with the presentation and content of this course",Negative
This was the most poorly designed course that I have ever encountered.,Negative
"1 out of 10. A waste of time. If I cannot participate in discussions, forums, submit assignments, or give reviews, I might as well watch youtube lectures.",Negative
"Very poor. Assignments consist of transcription of formulae given in lectures,",Negative
The quiz and assignment are poorly designed.,Negative
"Such a boring course. No challenge at all, no meaningful example, and in the end seems that everybody grade without any reason.",Negative
"Sadly, I found the presentation poor: not at all fluent, and under-prepared - sometimes what was said was different from what was written (which was correct), potentially causing confusion.",Negative
Very poor CSS content,Negative
"if u r poor, it makes u good.........if u r good, it makes u better........if u r better, it makes u best!!!!!!",Negative
Well defined courses for student. A student or any age of person can understand easily in couples of times.,Negative
"Grading system is not clearly defined at the time of submission. Some grading question are inherently subjective ""Is the code at least somewhat efficient?"".",Negative
Good course!,Positive
"The presenter is good and knowledgeable, but the information is barely skimmed over and there isn't any real opportunity to learn. A few worked examples might be good",Positive
"A solid overview of accounting and finance for the non-financial professional. I have 0 finance and accounting experience, so I valued how broad this course was and I imagine it's a good primer for more in-depth courses.",Positive
"Good course, fast and easy to get Could be enhanced by a few practical examples where the formulas presented could make more sense",Positive
lack of examples to workout. good short videos. good option for introduction,Positive
"It could be more elaborated. In the 3rd week, there was more equations and hurry to complete the topic, i think. But all in all good.",Positive
Very good overview. Could be a little bit more in-depth.,Positive
"Hy, Great, simple and very useful course. Good basics for every enterpreneur.",Positive
excellent presentation. not complicated with excess examples or digressions. good visuals that were easy to understand. Explanation given from a position of experience.,Positive
Good brief introduction! Expecting more details.,Positive
This is a very good course. I liked it very much!,Positive
"For being a free course, it was pretty good.",Positive
Very good course. Thouht me hot to control money and plan for the future.,Positive
Interesting material and good teacher but very poor use of the media,Positive
"I'm sorry to say this Course is really boring, poor in resources",Negative
Lectures have very poor teaching skills.,Negative
"While the lectures were good, this course had annoying issues,",Negative
Great first starter but poorly done,Negative
Explanation of concept was poor,Negative
"The course starts very promising, but it gets worse week after week, culminating on a barely understandable week about dynamic programming. That’s when I gave up and decided to write this review instead",Negative
The lectures were too wordy and the lecturers tripped over their words too often (which wouldn't have made it so difficult to listen if the lectures hadn't been so wordy!).,Negative
"Did not like the course, complicated concepts and poor representation.",Negative
"This course is about nothing, it is poor illustrated and uninformative. The lecturer's manner is anno",Negative
Poorly executed. Lost my interest very quickly.,Negative
Poor content. Clearly filler material for the specialization. :),Negative
excellent(sorry for my poor express ability),Negative
Very poor Server capacity. Problematic to complete assignments,Negative
Hated the course and the content. I truly regret investing my money on this course.,Negative
I have mixed feelings about this course.,Negative
Hated the course and the content. I truly regret investing my money on this course.,Negative
Hate auto grading,Negative
Hate the music. And that permanent fake smile and constant nodding. Those are cheap brainwashing techniques which target human cognitive abilities,Negative
"I was really disappointed in this ""course"" for several reasons. I did not complete it, because it was really not worth spending time on. The organizer impressed me as only wanting to sell copies of his book on dog behavior and used the course as his vehicle.",Negative
This is basically just one giant commercial for the web site.,Negative
"For me, this course was disappointing",Negative
"Actually, I am quite disappointed by this course.",Negative
"Unfortunately, without a doubt, the worst und most uninformative course I've ever taken.",Negative
Very disappointed that the assignments are not part of the f,Negative
"Didactically I was a little disappointed since, as so often, allegedly innovative e-learning is based on a conventional transmission pedagogy, with the instructur delivering frontal-teaching-style lectures",Negative
Not bad for introduction in Machine Learning,Positive
Not a bad overview but overall far too shallow to be of significant worth on its own.,Positive
Very good course. Most of the new features and technologies were well explained.,Positive
"The course is not bad, but I felt that it was just a collection of common sense advice.",Positive
I LOVED IT! I just got very bad headaches with that white background!,Positive
average course not too good not too bad,Positive
This is a very bad course,Negative
"Excellent contents, but relator's english is pretty bad. :-)",Negative
"Contents are good and interesting, but speakers' english is so low and bad (pronunciation) that the course becomes almost unpleasant.",Negative
Teacher is really bad. Terrible.,Negative
Very bad explanation too boring lectures,Negative
Lecturer is downright boring and not engaging.,Negative
Course content sometimes too boring,Negative
"I did enjoy this course, but at times I felt a little bored, like it was loosing my interest.",Negative
"boring lecturer, monotone, passionless reading of even more boring powerpoint slides and images, and absolutely no intelligent discussion going on in this course",Negative
Boring financial concepts explained in interesting way. The professor way really good. I liked the course!,Positive
"It was informative and never boring, especially when you are not a",Positive
"I would suggest to remake the lessons. The speech by the author is very interesting, but the images are a bit poor",Negative
kinda boring,Negative
very boring and uninteresting delivery..,Negative
Teacher is boring. just learned programming from kahn academy and the teacher was excited to teach. this guy though.....PUT A LITTLE EFFORT IN!,Negative
"Excellent course, classes are not boring, the teacher is great.",Negative
Excellent Professor!!! Not the same old boring history course!,Positive
"at first its seems boring, but i'm happy that i continued the course.",Positive
"The course is too boring, I am not sure if it is because of the language or the lectures.",Negative
I thoroughly enjoyed this course.,Positive
"The information is really useful and for the most part, decently organised",Positive
"A very engaging approach to online teaching, that is very effective at keeping you from zoning out while staring at boring slides of text with someone speaking over top of it.",Positive
Too repetitive. Very boring. Unnecessarily verbose.,Negative
"Course content is ok, but some lectors are really boring in explaining mathematical details.",Negative
"Even if you've never had a lifelong fascination with natural history like I did, this course should be fascinating and educational enough to draw you in.",Positive
"preety boring, lots of code copying.",Negative
"a little dry and boring,but it's very useful",Negative
This was my favorite course in the Social Media Marketing Specialization. Wonderful insight on blog creation,Positive
Wonderful lectures and readings!,Positive
Wonderful course. Very well organised. Lecturer is great.,Positive
This is an amazing course by an amazing lecturer. I've taken classes in environmental ethics and environmental impact assessment and this is a wonderful addition to that knowledge base.,Positive
Wonderful lecturer and fascinating material,Positive
It's a wonderful course. I like how Brian shows videos inside videos.,Positive
"Wonderful course, a complete introduction guide for new hands.",Positive
Wonderful course and a wonderful professor / teacher,Positive
wonderful course for beginner of machine learning.,Positive
"Awesome, Useful, very practical! Erin is a wonderful instructor.",Positive
"Fabulously presented, well paced, challenging and even cute!",Positive
I love the way this course is designed!,Positive
foundamental. well done,Positive
Very well organized course materials.,Positive
"Practical, and well paced.",Positive
"The instructor was engaging, the content was interesting, and the structure held up very well as a self-paced course.",Positive
Wonderful course. Very well organised. Lecturer is great.,Positive
"Very engaging ! Easy to follow, and well structured.",Positive
I love this course to the extent that I was glued to listen to the video lectures.,Positive
Our instructor is a well experienced professional and,Positive
Extremely informative and very well presented.,Positive
"Love this course, thank you ! A great look as well to fallow on",Positive
"Fascinating, and very well done. Thank you!",Positive
the homework is getting easy,Negative
Basic stuff. Good choice of subjects. A little too short.,Negative
"A clear, if fairly basic, introduction. The lack of discussion forums makes it a fairly sterile experience.",Negative
This is an excellent course for everyone who wants to basic financial understanding,Positive
It is very useful for someone with only basic finance knowledge,Positive
the course is very beneficial for people from other backgrounds. Understood the basic concepts of finance. thanks a lot. Waiting for such more at your pace courses. :),Positive
All very basic.,Positive
"It´s simply, easy and good...but may be to basic",Positive
"Useful and short, but somehow basic information",Positive
Very basic and obvious things. It's not really useful for anyone older than high school student.,Negative
Very basic yet eye opening course,Positive
Speed is very fast for a basic level student.,Negative
Very disappointed with this final course. Little to no support.,Negative
This is amazing course to clear your basic concept... Like it,Positive
Information presented was too basic.,Negative
Short and basic but great.,Positive
This is very Good course for basic python programing.,Positive
Basic Python Knowledge for everyone. It's easy and fun.,Positive
"Very good course, adequate for newcommers to programming as it's a very basic level. Thank you for everything!!",Positive
This very Good course for learn Basic python programing and improve you skills in python .,Positive
"Great introductory course for programming in general, while also covering the basic syntax of Python.",Positive
easy to have a basic understanding about python,Positive
Material is very basic for anyone with even the smallest amount of programming experience. Very slow pace,Positive
Perfect introductory course to programming and basic python scripting,Positive
very basic,Positive
Nice and well structured class. I liked it to learn the basic Python syntax,Positive
very basic course. Easy for a bit experienced programmers but I know this is meant for someone who is just starting out,Positive
Content presented well. Professor Chuck is great and feels like he's right there with you.,Positive
"good all starter course, it is a little basic for those that have some prior experience with Python.",Positive
too basic,Negative
This course was so dry.... I could barely keep myself engaged.,Negative
too few programming assignments :-(,Negative
"Very informative, fantastically organized ....though video quality(even high)",Positive
Way too shallow and way too english :(,Negative
WoW awful presentation but great instructor.,Negative
good but supporting material are poor,Negative
"A disappointing experience. The lectures are very basic, thought for people that have no experience in programming",Negative
Videos are poorly narrated and are marginally effective:,Negative
Poorly organized and managed. Each week of this course should have been broken down into individual 4 week courses.,Negative
"It's good introduction, but the assignment are rather poor.",Negative
The course had too much stuff crunched,Negative
There is a wide gap between the lectures and the practice.,Negative
Course is OK. Not too informative or too poor.,Negative
"Poor grading system. Based on 2 peers' ""subjective"" points of your week4 analysis assignment, even if you digested all the materials and received 100% on quizzes all weeks, you will have to repeat taking this course endlessly",Negative
"Very poor lecture, I barely learn anything about excel from this course",Negative
I found Week 2: Binary Classification really confusing,Negative
Poorly coordinated lectures. References to resources that are not provided.,Negative
The title is very misleading. Excel is an afterthought for this course,Negative
Was very frustrated with this course. Does not have a strong emphasis on Excel skills,Negative
I would not recommend this course.,Negative
This course does not belong to this specialization.,Negative
This course does not belong to this specialization.,Negative
"Poor content, poor assessment quiz, and felt quite disappointed. It is way below par.",Negative
I never thought I would have to rate it this bad.,Negative
"Very poor course. Low depth of teaching, assignments awfully developed.",Negative
"It was quite confusing with unlocking next weeks work, and the filming of the videos were poor.",Negative
"very poor. even though for the most part I found the videos engaging, the course's overall structure doesn't help to 'read the novel together'",Negative
"I slogged through it and got an 89, but the videos were boring",Negative
"The material in this course is very interesting,",Positive
"The information in this course was valuable, but the assignments were poorly integrated with the course.",Negative
Too fast speech/ language use in combination with poor english translation,Negative
This course is bad! I had come upto week 4.,Negative
"This is the worst course online I've done so far. I would not recommend it to anyone as it stands, regardless of the student's background",Negative
Poorly designed course which tests people on things that are not taught.,Negative
Poorly structured. Bloated. Discontinuous content.,Negative
"Poor. Course crammed with unnecessary details (loads of CSS ""decoration"" properties that one may test on it's own)",Negative
This course is terrible for many reasons.,Negative
Poorly designed. Too few instructions,Negative
It is ironic that a course about virtual instruction is one of the worst online courses I have taken.,Negative
Some materials are useful but the teacher has no idea of teaching techniques and good presentation.,Negative
"Underwhelmed. If this had been a free course I might have gone up to two stars, but I probably wouldn't have finished.",Negative
Fantastic course and a fantastic leaning journey,Positive
Fantastic course. The topic and the presentation were on point.,Positive
Fantastic Teacher - very clear. Fun assignments and a very participatory community of students!,Positive
"This was the most comprehensive ,clear explained and cmplete course I haver had on this subject.",Positive
it's a fantastic course that gives you a good idea of what the objectives of recommender systems,Positive
"After the first introduction week, you learn a lot how to use Unity. The last two weeks are intense due to the amount of information to assimilate",Positive
Provides a good insight into the development of modern internet over the last few decades,Positive
"It's really great too see the history of Computers, Internet, etc. Fantastic to watch all the interviews with the people who created Internet, First Web Server, WWW. I really enjoy it and it feels like exciting journey back in time!",Positive
Really fantastic. A lot of great information and insight and interesting interpertations,Positive
"These Machine Learning classes have been fantastic so far, really enjoying them",Positive
Fantastic course! Very informative. I think the second part of the course was improved.,Positive
"The teachers is organized, charismatic, a respected author of such interesting subject matter.",Positive
Lovely course... the faculty was fantastic and guests,Positive
Fantastic introductory course to Python language,Positive
Overall the course was fantastic. Teaching was spot on and the methods was brilliant.,Positive
"Excellent introduction to Python, well explained, helpful skill-building assignments and very good learning environment.",Positive
Awesome course! My only critic is that I would have hoped to be challenged a little more,Positive
"I love it! Very thorough. I started knowing NOTHING about programming and although I am still a beginner, I no longer feel lost.",Positive
I found it very helpful to somebody with no previous programming experience.,Positive
Fantastic introduction to programming and Python.,Positive
Fantastic! Lots of excellent and useful information.,Positive
"So far this course is fantastic. I have taken classes on this subject before however, the personal touches and the passion of both professors is contagious !!",Positive
Material was very interesting and I learned a lot,Positive
"Great course, interesting and easy to understand",Positive
"The instructor was engaging, the content was interesting, and the structure held up very well as a self-paced course.",Positive
This course was well planned and dynamic. The professor extraordinary and presented all the topics in a way to make them even more interesting,Positive
Great course! Challenging and interesting! Teaching style both excellent,Positive
Great course. Really enjoyed this introduction to environmental law and policy. Many issues and concepts were covered and the professor delivered the content in a interesting and well structured manner.,Positive
"I just start watching this, but it seems to be very helpful and interesting co",Positive
I am very disappointed with this programming course.,Negative
Course content is okay - there was some repetition of topics throughout the weeks,Negative
Rather general topic,Negative
"I was really disappointed in this ""course"" for several reasons.",Negative
This is not an Introduction but a Review of Machine Learning methods used in Yandex.,Negative
"This was the most comprehensive ,clear explained and cmplete course I haver had on this subject.",Positive
It was a nice overview. I wish some topics were discussed more in-depth and with practical examples.,Positive
The course is good for getting an overall idea of the main topics of finance,Positive
Brief overview of the topic but well presented.,Positive
It was a bit confusing to understand the topics and try to learn them by heart.,Negative
"A very basic, however, very important topics were covered for Non-Financials",Positive
Instructor is very good at explaining the topics. I like his style.,Positive
"Good course, good introduction about finance, but some terms and topics require more explanation.",Positive
My comments maybe not so useful as I had taken some study on this topic.,Positive
"Simply and clearly explained, good examples.",Positive
Very good for dummies in finance or pure techies,Positive
Please include exercises for computing the ratios and the valuation methods.,Positive
It could be more elaborated.,Positive
It's a great course! The Professor does make the topics very understandable.,Positive
"As a nonfinancial person, I liked that it is a good clear intro finance.",Positive
This course is good for basics for Non finance professionals.,Positive
"A bit short and general, but in a way that is exactly what I was looking for, as I needed some key concepts to start understanding the topic.",Positive
I wish they could let us take the quizzes without having to pay to verify that we have understood the lectures.,Positive
I was interested in the topic.,Positive
"Some interesting topics and detailed insight, but the course could be more systematic.",Positive
"Add an additional dimension of ""wealth"" to the list of intercultural topics.",Positive
"Not enough face to camera time, in comparison with the other two modules in this course specialization.",Negative
I really did want to take this course in a specialization mode,Positive
I find this course excellent.,Positive
Tough course! Very close to being in a classroom with plenty of material in every video.,Negative
I like the structure of the course that different professor is in charge of different chapter but the contents of each chapter are linked to the others.,Positive
Course was very good,Positive
Really GREAT course.,Positive
This is a very enjoyable and instructive course.,Positive
Nice course. Learnt a lot on topic.,Positive
I learn a lot by doing assignments and reviewing other people's assignments. The important con of this course was some of its quizzes' questions which was ambiguous or badly framed.,Negative
"The course is not bad, right? It gives you interesting texts to read, right?",Negative
"Not very informative content, some parts are interesting but not worth the money.",Negative
One of the worst courses that I have taken,Negative
"This course is not set up right, the assignments ask you to do things that aren't explained until the next weeks content, its kind of discouraging. In the end, it does teach you the basics of R, its just too bad that the way to get there is aggravating.",Negative
Course does not do a good job actually explaining R or training you on how to properly use it.,Negative
Overall not a bad course.,Negative
I wanted to love this course so bad but unfortunately I couldn't.,Negative
"not bad,but too simple for me",Negative
"Uncomfortable to watch and also a very outdated layout of the course, feels like a bad 90s American talk show.",Negative
"Enjoyed the class, only part that was bad is I couldn't do any of the quizzes.",Negative
"the course is very good, but in comparison with the first course with dr Leigh Thompson, the instructor in a little bit monotonus,",Negative
"Good content, but blocked quizes in free version is bad idea.",Negative
I read some of the other reviews and feel I should comment on some of their criticisms.,Negative
Good content but badly structured,Negative
This course is really bad.,Negative
Too much math!,Negative
"The course isn't bad, but the videos explanations are all way to general",Negative
Good lecture and educational.,Positive
Very bad or non-existent support,Positive
